mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
1.112201750278473,0.013101553681726013,0.012028932571411133,0.001093247369186168,0.01,3,50,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",0.7857428115015974,0.7857428115015974,0.7859424920127795,0.7857214178731902,0.785787383222291,8.997699808838521e-05,27
2.2533682584762573,0.06765413724916354,0.019915461540222168,0.002331594856614828,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.7980231629392971,0.7870407348242812,0.7956269968051118,0.7877184223664503,0.7921023292337851,0.00480411101673546,24
4.412073135375977,0.021709258814470476,0.03163939714431763,0.000579592019786799,0.01,3,200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.8048123003194888,0.8066094249201278,0.803314696485623,0.8034947578632052,0.8045577948971112,0.0013180762646241842,22
1.7959086894989014,0.05056026392064557,0.014576137065887451,0.0005866671602585192,0.01,5,50,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",0.7877396166134185,0.7877396166134185,0.7874400958466453,0.7873190214677983,0.7875595876353202,0.00018504812511015931,26
4.018693208694458,0.6336519333259593,0.027111947536468506,0.0032740709664446526,0.01,5,100,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.8011182108626198,0.8005191693290735,0.7994209265175719,0.800798801797304,0.8004642771266424,0.0006385784473473352,23
7.62913179397583,0.18189556945512106,0.04561704397201538,0.0017863093339988668,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.8144968051118211,0.8132987220447284,0.81060303514377,0.8129805292061907,0.8128447728766275,0.0014123648782513646,20
2.6344340443611145,0.14876974355225378,0.021710693836212158,0.0027038579111609323,0.01,7,50,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50}",0.7877396166134185,0.7882388178913738,0.7885383386581469,0.7899151273090365,0.7886079751179939,0.0008068177671447235,25
5.008696019649506,0.18528314488484696,0.032969117164611816,0.0012821809987837447,0.01,7,100,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",0.8081070287539937,0.8078075079872205,0.8060103833865815,0.8060908637044434,0.8070039459580598,0.0009596079114286548,21
10.392561674118042,0.9482001785795358,0.06437385082244873,0.008201741880772646,0.01,7,200,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.8171924920127795,0.8153953674121406,0.8127995207667732,0.818472291562656,0.8159649179385874,0.0021294358205760037,18
1.1144288182258606,0.053157329591506715,0.01021498441696167,0.000807181255852232,0.1,3,50,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",0.8135982428115016,0.8146964856230032,0.8116014376996805,0.8146779830254618,0.8136435372899118,0.0012600595718213895,19
2.1412291526794434,0.007173667907556619,0.014517247676849365,0.00023127268106910894,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.8190894568690096,0.8164936102236422,0.8129992012779552,0.8199700449326011,0.817138078325802,0.002709868789849901,17
4.310463964939117,0.055022560904904115,0.025588631629943848,0.0016397657756495245,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.8234824281150159,0.8194888178913738,0.8169928115015974,0.8223664503245133,0.8205826269581251,0.002533479121603835,11
2.0340051651000977,0.2348510102507348,0.016730129718780518,0.0018589217306846262,0.1,5,50,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",0.8218849840255591,0.8204872204472844,0.8168929712460063,0.8208686969545681,0.8200334681683545,0.0018837681747439219,14
3.412106454372406,0.2220416835723461,0.020597636699676514,0.001294110992690456,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.8239816293929713,0.8211861022364217,0.8206869009584664,0.8246630054917623,0.8226294095199054,0.0017190467262183128,8
6.529808402061462,0.032616443551679336,0.03293520212173462,0.00033874545678445775,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.8262779552715654,0.8212859424920128,0.8205870607028753,0.8272591113330005,0.8238525174498634,0.0029469537361606598,2
2.3510007858276367,0.043710701678007995,0.016507506370544434,0.0014330095642171878,0.1,7,50,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50}",0.8219848242811502,0.8192891373801917,0.8168929712460063,0.8246630054917623,0.8207074845997776,0.0029086063307855285,9
4.6516812443733215,0.038436453867369935,0.026028692722320557,0.001073962971689138,0.1,7,100,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",0.8256789137380192,0.8224840255591054,0.8200878594249201,0.8271592611083375,0.8238525149575956,0.002752984613290778,3
9.271979331970215,0.07113008474414295,0.046135783195495605,0.0022748106267494127,0.1,7,200,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.8231829073482428,0.8209864217252396,0.8193889776357828,0.8275586620069895,0.8227792421790636,0.0030705821236964247,7
1.070979118347168,0.02814625844141913,0.009682297706604004,0.0005299565446489794,0.2,3,50,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 50}",0.8195886581469649,0.8172923322683706,0.8133985623003195,0.8207688467299051,0.81776209986139,0.002812382599338698,15
2.044225513935089,0.008835883881812627,0.013304531574249268,0.00015662135248759525,0.2,3,100,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",0.8239816293929713,0.8201876996805112,0.8170926517571885,0.8215676485272092,0.82070740733947,0.0024898342779757854,10
4.113646507263184,0.041004157515702334,0.02268373966217041,0.000733817577543478,0.2,3,200,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200}",0.8250798722044729,0.8218849840255591,0.8184904153354633,0.8262606090863704,0.8229289701629663,0.003021459643944766,5
1.6723807454109192,0.023749496645006148,0.011798977851867676,0.0003038338918544815,0.2,5,50,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 50}",0.8251797124600639,0.8200878594249201,0.8213857827476039,0.8246630054917623,0.8228290900310876,0.002149776318088395,6
3.3098621368408203,0.04855117245584577,0.01858687400817871,0.0007342113014695495,0.2,5,100,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}",0.8267771565495208,0.8202875399361023,0.8218849840255591,0.8284573140289566,0.8243517486350347,0.0033667859577964096,1
6.665355324745178,0.16965258777349337,0.033367156982421875,0.0009504060921897712,0.2,5,200,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.8251797124600639,0.8200878594249201,0.8229832268370607,0.8257613579630554,0.823503039171275,0.00222738044827105,4
2.322600841522217,0.004786940788880441,0.01511317491531372,0.0008661505697995633,0.2,7,50,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 50}",0.8227835463258786,0.8185902555910544,0.8188897763578274,0.8220668996505243,0.8205826194813212,0.0018629545289527377,12
4.741678416728973,0.0477942536239011,0.02466416358947754,0.00022691418594050983,0.2,7,100,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100}",0.8226837060702875,0.8174920127795527,0.8185902555910544,0.8225661507738392,0.8203330313036835,0.002324927303450661,13
9.340259075164795,0.02641568193834163,0.045976340770721436,0.0009136505649290113,0.2,7,200,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200}",0.8210862619808307,0.8134984025559105,0.8149960063897763,0.8198701947079381,0.8173627164086139,0.0031892976074450207,16
